filename,psnr_db
01.png,30.290735244750977
02.png,27.39668083190918
03.png,26.965524673461914
04.png,26.491994857788086
05.png,29.802490234375
06.png,29.662904739379883
07.png,27.76519012451172
08.png,29.236042022705078
09.png,27.100332260131836
10.png,28.01314926147461
11.png,28.946598052978516
12.png,28.072307586669922
13.png,26.709699630737305
14.png,27.204896926879883
15.png,28.393505096435547
16.png,28.004322052001953
17.png,30.146717071533203
18.png,28.55818748474121
19.png,28.314285278320312
20.png,26.78379249572754
21.png,28.766233444213867
22.png,29.792030334472656
23.png,28.69420051574707
24.png,28.448955535888672
25.png,26.361425399780273
26.png,29.196699142456055
27.png,27.422712326049805
28.png,28.960124969482422
29.png,29.525943756103516
30.png,29.271907806396484
31.png,26.5427188873291
32.png,28.178802490234375
33.png,28.457643508911133
34.png,26.79837989807129
35.png,29.135894775390625
36.png,29.3024845123291
37.png,28.366275787353516
38.png,29.112558364868164
39.png,26.955080032348633
40.png,26.96596336364746
41.png,28.933181762695312
42.png,29.55162239074707
43.png,29.106138229370117
44.png,27.939870834350586
45.png,28.181365966796875
46.png,29.694740295410156
47.png,28.424013137817383
48.png,28.673782348632812
49.png,29.163122177124023
50.png,27.991294860839844
