filename,noisy_psnr_db,denoised_psnr_db
01.png,15.709688186645508,22.888450622558594
02.png,15.450272560119629,24.04096221923828
03.png,16.651813507080078,22.71356773376465
04.png,16.659732818603516,21.82886505126953
05.png,17.279624938964844,25.171863555908203
06.png,17.237335205078125,27.850975036621094
07.png,17.98069190979004,24.883211135864258
08.png,15.898401260375977,25.945648193359375
09.png,15.22580337524414,21.9882869720459
10.png,15.302978515625,23.298294067382812
11.png,15.806597709655762,26.58338165283203
12.png,16.32770538330078,24.184619903564453
13.png,15.773067474365234,23.433135986328125
14.png,16.10409927368164,23.88538360595703
15.png,16.560609817504883,26.26796531677246
16.png,17.59667205810547,25.916728973388672
17.png,16.105777740478516,25.766845703125
18.png,14.522453308105469,25.35154151916504
19.png,15.348285675048828,25.125682830810547
20.png,15.476120948791504,23.365238189697266
21.png,15.373040199279785,24.714168548583984
22.png,16.54399871826172,26.94341468811035
23.png,15.825517654418945,24.972702026367188
24.png,16.13064193725586,25.99563217163086
25.png,16.444316864013672,22.43140983581543
26.png,15.146881103515625,24.395496368408203
27.png,15.631221771240234,24.47836685180664
28.png,17.19980239868164,26.364696502685547
29.png,16.455915451049805,26.36906623840332
30.png,16.34292221069336,26.49854278564453
31.png,17.09885597229004,23.376880645751953
32.png,15.666667938232422,24.33875846862793
33.png,15.811967849731445,25.57154655456543
34.png,15.82242202758789,21.976945877075195
35.png,14.929637908935547,25.546810150146484
36.png,14.999346733093262,25.664615631103516
37.png,16.290287017822266,25.36058235168457
38.png,14.773876190185547,25.00299072265625
39.png,16.044662475585938,22.973297119140625
40.png,16.402179718017578,24.127830505371094
41.png,17.643535614013672,25.947154998779297
42.png,15.982904434204102,27.204111099243164
43.png,16.529619216918945,26.482038497924805
44.png,17.662874221801758,25.418367385864258
45.png,15.446752548217773,24.42131233215332
46.png,15.917207717895508,19.474246978759766
47.png,15.492438316345215,25.13444709777832
48.png,15.678457260131836,25.508811950683594
49.png,15.979425430297852,25.030057907104492
50.png,15.940762519836426,24.27353858947754
