filename,psnr_db
01.png,25.057126998901367
02.png,25.56525993347168
03.png,24.356033325195312
04.png,23.481063842773438
05.png,26.585777282714844
06.png,28.44243812561035
07.png,26.42513084411621
08.png,26.967660903930664
09.png,23.806373596191406
10.png,24.57587242126465
11.png,27.07729148864746
12.png,25.867942810058594
13.png,24.974897384643555
14.png,25.383522033691406
15.png,27.1693115234375
16.png,27.599517822265625
17.png,26.302005767822266
18.png,26.070768356323242
19.png,26.35523223876953
20.png,24.677261352539062
21.png,25.69095230102539
22.png,27.269107818603516
23.png,26.348562240600586
24.png,26.92674446105957
25.png,23.846168518066406
26.png,25.574466705322266
27.png,25.909046173095703
28.png,27.64450454711914
29.png,27.39405632019043
30.png,27.24421501159668
31.png,25.015661239624023
32.png,25.446720123291016
33.png,26.739013671875
34.png,23.592451095581055
35.png,26.452817916870117
36.png,26.594955444335938
37.png,26.738025665283203
38.png,25.758907318115234
39.png,24.596311569213867
40.png,25.529216766357422
41.png,27.236209869384766
42.png,27.504966735839844
43.png,27.511672973632812
44.png,26.84191131591797
45.png,25.31182289123535
46.png,23.51480484008789
47.png,26.23558807373047
48.png,26.23790740966797
49.png,26.051307678222656
50.png,25.48407554626465
