filename,psnr_db
01.png,27.666494369506836
02.png,27.14929962158203
03.png,25.99111557006836
04.png,25.30112075805664
05.png,28.126083374023438
06.png,28.463176727294922
07.png,26.77137565612793
08.png,28.036991119384766
09.png,26.169315338134766
10.png,26.737329483032227
11.png,28.079050064086914
12.png,27.443674087524414
13.png,26.54097557067871
14.png,26.972660064697266
15.png,27.985761642456055
16.png,27.035995483398438
17.png,28.025693893432617
18.png,27.88141441345215
19.png,27.966997146606445
20.png,26.18511199951172
21.png,27.295806884765625
22.png,28.137046813964844
23.png,27.63453483581543
24.png,27.521087646484375
25.png,25.539016723632812
26.png,27.48735237121582
27.png,27.169898986816406
28.png,27.979095458984375
29.png,28.10525894165039
30.png,27.91162109375
31.png,25.85627555847168
32.png,27.565841674804688
33.png,27.50349998474121
34.png,25.926198959350586
35.png,27.80530548095703
36.png,27.903980255126953
37.png,27.546472549438477
38.png,27.91834259033203
39.png,26.380130767822266
40.png,26.434371948242188
41.png,27.817581176757812
42.png,28.29726219177246
43.png,27.97879409790039
44.png,27.23386573791504
45.png,27.104875564575195
46.png,26.818801879882812
47.png,27.51849365234375
48.png,27.541723251342773
49.png,27.617904663085938
50.png,26.854753494262695
