filename,psnr_db
01.png,21.961105346679688
02.png,22.182418823242188
03.png,19.966201782226562
04.png,19.3133602142334
05.png,22.647197723388672
06.png,22.713645935058594
07.png,20.476985931396484
08.png,24.93882179260254
09.png,20.631175994873047
10.png,22.135725021362305
11.png,24.181501388549805
12.png,21.878795623779297
13.png,21.620847702026367
14.png,21.757238388061523
15.png,24.10317611694336
16.png,20.898353576660156
17.png,21.98634147644043
18.png,23.63953399658203
19.png,23.322355270385742
20.png,21.236560821533203
21.png,23.3835391998291
22.png,24.589521408081055
23.png,23.5594482421875
24.png,22.401697158813477
25.png,19.7772159576416
26.png,22.576610565185547
27.png,22.69322967529297
28.png,23.802661895751953
29.png,24.360151290893555
30.png,24.202682495117188
31.png,20.287200927734375
32.png,22.78053092956543
33.png,23.164081573486328
34.png,20.292861938476562
35.png,24.18316650390625
36.png,24.645870208740234
37.png,22.906599044799805
38.png,23.65552520751953
39.png,21.165761947631836
40.png,21.8851261138916
41.png,22.411710739135742
42.png,25.345943450927734
43.png,23.14082145690918
44.png,22.114517211914062
45.png,22.750354766845703
46.png,19.965435028076172
47.png,23.44240951538086
48.png,23.748966217041016
49.png,23.24824333190918
50.png,22.76943588256836
