filename,psnr_db
01.png,23.033763885498047
02.png,24.42859649658203
03.png,22.99903678894043
04.png,22.072509765625
05.png,25.13849449157715
06.png,27.340238571166992
07.png,24.990385055541992
08.png,25.5452938079834
09.png,22.377017974853516
10.png,23.222875595092773
11.png,25.79372787475586
12.png,24.457683563232422
13.png,23.657474517822266
14.png,24.13080596923828
15.png,25.449312210083008
16.png,26.259347915649414
17.png,24.9532413482666
18.png,24.643451690673828
19.png,25.01297950744629
20.png,23.423254013061523
21.png,24.445884704589844
22.png,26.030155181884766
23.png,24.774581909179688
24.png,25.558242797851562
25.png,22.4680118560791
26.png,23.841564178466797
27.png,24.78432846069336
28.png,26.77460479736328
29.png,26.296043395996094
30.png,26.222991943359375
31.png,23.871490478515625
32.png,23.981605529785156
33.png,25.65682601928711
34.png,22.213638305664062
35.png,25.325199127197266
36.png,25.38748550415039
37.png,25.53032112121582
38.png,24.441619873046875
39.png,23.30768585205078
40.png,24.47596549987793
41.png,25.912399291992188
42.png,26.41436767578125
43.png,26.392261505126953
44.png,25.607105255126953
45.png,24.160560607910156
46.png,21.396343231201172
47.png,24.898622512817383
48.png,24.958765029907227
49.png,24.667158126831055
50.png,24.19704818725586
