filename,psnr_db
01.png,28.540441513061523
02.png,26.526805877685547
03.png,25.618019104003906
04.png,24.913204193115234
05.png,28.8376522064209
06.png,29.140748977661133
07.png,26.33606719970703
08.png,27.813953399658203
09.png,25.384016036987305
10.png,26.536645889282227
11.png,28.278385162353516
12.png,27.184762954711914
13.png,25.79613494873047
14.png,25.79572296142578
15.png,28.242023468017578
16.png,26.565324783325195
17.png,28.637056350708008
18.png,27.940715789794922
19.png,27.364887237548828
20.png,25.7135009765625
21.png,27.57390022277832
22.png,29.263599395751953
23.png,27.026140213012695
24.png,27.535621643066406
25.png,25.033382415771484
26.png,27.75102996826172
27.png,26.171772003173828
28.png,26.534008026123047
29.png,28.65393829345703
30.png,27.72882843017578
31.png,25.211828231811523
32.png,27.465818405151367
33.png,27.278152465820312
34.png,25.11684799194336
35.png,27.862699508666992
36.png,28.0207462310791
37.png,27.244667053222656
38.png,28.467132568359375
39.png,25.66921043395996
40.png,26.03164291381836
41.png,27.657695770263672
42.png,28.989295959472656
43.png,28.15964126586914
44.png,26.986238479614258
45.png,26.982646942138672
46.png,28.48239517211914
47.png,27.108612060546875
48.png,27.567474365234375
49.png,27.77035903930664
50.png,26.784069061279297
