filename,noisy_psnr_db,denoised_psnr_db
01.png,16.900157928466797,24.432754516601562
02.png,16.59804344177246,24.81930923461914
03.png,17.794681549072266,23.727630615234375
04.png,17.780460357666016,22.820499420166016
05.png,18.486474990844727,26.15384864807129
06.png,18.39689064025879,28.677791595458984
07.png,19.163917541503906,25.896732330322266
08.png,17.108060836791992,26.950227737426758
09.png,16.30666732788086,23.056114196777344
10.png,16.427635192871094,24.122591018676758
11.png,16.947011947631836,27.342098236083984
12.png,17.506526947021484,25.120105743408203
13.png,16.924442291259766,24.185577392578125
14.png,17.27822494506836,24.709918975830078
15.png,17.740358352661133,27.043075561523438
16.png,18.800033569335938,26.8101863861084
17.png,17.170055389404297,26.996734619140625
18.png,15.529455184936523,26.216045379638672
19.png,16.513221740722656,25.925487518310547
20.png,16.65250587463379,24.219255447387695
21.png,16.56573486328125,25.505285263061523
22.png,17.698514938354492,27.368072509765625
23.png,17.00315284729004,25.814552307128906
24.png,17.220539093017578,27.004234313964844
25.png,17.609962463378906,23.46339225769043
26.png,16.20646095275879,25.275840759277344
27.png,16.80300521850586,25.191238403320312
28.png,18.34986114501953,27.423582077026367
29.png,17.673091888427734,27.481800079345703
30.png,17.55509376525879,27.34992027282715
31.png,18.293840408325195,24.375505447387695
32.png,16.825105667114258,25.130897521972656
33.png,16.99941062927246,26.560861587524414
34.png,16.97492790222168,22.938718795776367
35.png,16.037025451660156,26.509449005126953
36.png,16.157947540283203,26.57741355895996
37.png,17.47355079650879,26.395748138427734
38.png,15.822304725646973,25.81422996520996
39.png,17.20831871032715,23.75766372680664
40.png,17.550739288330078,24.8879451751709
41.png,18.82090950012207,27.014406204223633
42.png,17.167850494384766,28.20012092590332
43.png,17.710540771484375,27.297706604003906
44.png,18.88107681274414,26.356124877929688
45.png,16.60426902770996,25.249195098876953
46.png,17.091333389282227,22.63719940185547
47.png,16.654170989990234,26.039409637451172
48.png,16.854694366455078,26.31881332397461
49.png,17.111852645874023,25.88641929626465
50.png,17.131454467773438,25.06929588317871
