filename,psnr_db
01.png,30.223886152166518
02.png,27.512815415181215
03.png,26.561489584642736
04.png,25.758635815739105
05.png,30.009702188030282
06.png,29.153655328558887
07.png,27.050769636613644
08.png,30.21555861110751
09.png,26.62457197029972
10.png,27.83345089592853
11.png,29.337410774417624
12.png,27.645769009907646
13.png,26.145626842347024
14.png,27.857022415322
15.png,28.90143364937281
16.png,27.832319438284717
17.png,29.981064997794043
18.png,29.612494373888033
19.png,28.833470512419854
20.png,26.264882566414084
21.png,28.444639830005215
22.png,30.36696916070468
23.png,28.91194457355774
24.png,28.833277270275616
25.png,25.49266831417649
26.png,29.54288277029409
27.png,28.00746529019048
28.png,30.09642846871731
29.png,30.602127591591774
30.png,29.5632010747742
31.png,25.847211125794786
32.png,28.709231623012425
33.png,28.825429632903862
34.png,26.858390813582425
35.png,30.234122452383726
36.png,29.5147417583891
37.png,28.331370991132058
38.png,30.103555114809595
39.png,26.373516902583543
40.png,26.995430887050485
41.png,29.112282832848813
42.png,30.262889376177036
43.png,28.558214800573097
44.png,27.24169120898447
45.png,28.817627342338433
46.png,28.33564028935637
47.png,28.82345027151834
48.png,28.657596028870785
49.png,29.066565609727874
50.png,26.597686237595205
