filename,psnr_db
01.png,21.009042739868164
02.png,21.835430145263672
03.png,19.07969856262207
04.png,18.307353973388672
05.png,21.753957748413086
06.png,21.673681259155273
07.png,19.343830108642578
08.png,22.838565826416016
09.png,19.644275665283203
10.png,20.748567581176758
11.png,22.786293029785156
12.png,21.093799591064453
13.png,21.16516876220703
14.png,20.831911087036133
15.png,22.00087547302246
16.png,20.165376663208008
17.png,20.714153289794922
18.png,22.585744857788086
19.png,22.4642333984375
20.png,20.152572631835938
21.png,22.206647872924805
22.png,22.457639694213867
23.png,21.80312728881836
24.png,21.25617027282715
25.png,18.508636474609375
26.png,21.069568634033203
27.png,21.76974105834961
28.png,21.259124755859375
29.png,22.29999351501465
30.png,22.367685317993164
31.png,19.76185417175293
32.png,21.803348541259766
33.png,22.370376586914062
34.png,19.386198043823242
35.png,22.51998519897461
36.png,23.23639678955078
37.png,21.868810653686523
38.png,22.227094650268555
39.png,20.714603424072266
40.png,21.032039642333984
41.png,21.153671264648438
42.png,23.630348205566406
43.png,22.428009033203125
44.png,21.253700256347656
45.png,21.223840713500977
46.png,19.289627075195312
47.png,22.1770076751709
48.png,22.46436309814453
49.png,21.397130966186523
50.png,21.905277252197266
